2.7215E-15,1.6845E-14,4.4882E-15,-3.0392E-10,-1.0490E-15,-1.2165E-13,2.4768E-14,4.42E-12,-5.17E-13,1.74E-14,7.16E-14,-3.26E-14,-4.11E-14,2.54E-12,-9.98E-10,-8.34E-12,4.11E-12,-1.38E-14,-1.26E-10,8.90E-15
-4.3450E-14,-4.7469E-14,5.6783E-15,1.9501E-10,-2.2732E-14,5.6178E-14,7.8868E-15,1.05E-12,-8.26E-14,2.16E-14,-2.08E-14,4.32E-15,5.31E-14,1.34E-13,-1.89E-10,-3.79E-12,8.03E-13,-4.52E-14,-2.02E-10,-1.16E-14
4.4086E-14,5.6952E-15,-2.9689E-15,6.9665E-11,-5.1023E-14,5.6162E-15,2.0946E-14,5.92E-14,-3.27E-14,-8.32E-15,1.09E-15,1.99E-15,4.49E-14,6.59E-14,1.61E-09,1.04E-12,6.90E-14,1.69E-14,8.33E-11,2.68E-14
-3.0605E-14,-2.2412E-14,-4.2666E-15,-7.8865E-15,-3.8426E-14,-8.5175E-16,-7.1252E-14,-4.41E-12,5.03E-13,1.00E-14,-1.06E-14,5.60E-14,1.73E-14,-2.59E-12,4.85E-10,8.39E-12,-4.05E-12,-1.28E-14,5.68E-12,3.69E-14
-8.9904E-15,-4.4937E-11,1.0902E-10,-1.1370E-14,-4.8250E-16,-3.5209E-15,-2.5174E-15,-1.04E-14,-1.60E-14,7.19E-15,-6.55E-15,2.04E-16,-1.69E-15,-3.55E-15,-2.28E-12,8.75E-12,-1.42E-14,-1.26E-14,-1.01E-14,-4.15E-15
-1.0662E-14,7.2751E-10,-5.5398E-11,2.4917E-14,-1.0070E-14,2.2093E-15,-1.7301E-11,8.27E-15,-2.37E-14,-2.03E-14,4.66E-15,-1.54E-14,-7.72E-15,1.57E-15,-2.81E-11,-1.38E-14,1.87E-14,-6.11E-15,-1.07E-15,-6.90E-15
3.6720E-15,-5.3304E-11,6.5203E-10,1.5739E-10,-8.5786E-15,1.0588E-14,5.0915E-11,1.90E-15,-2.62E-14,5.38E-14,-6.68E-15,1.71E-14,9.13E-15,2.82E-15,-3.59E-12,7.83E-11,-1.03E-14,3.28E-11,2.30E-14,8.47E-15
-6.5125E-15,1.5472E-14,-1.4354E-14,-1.1917E-14,3.1359E-16,2.0234E-15,-2.6513E-14,-1.39E-14,-2.08E-14,5.95E-15,-2.05E-14,-4.73E-15,1.60E-14,1.75E-14,7.85E-15,4.98E-15,1.31E-14,-8.64E-15,-1.16E-14,-1.05E-14
6.8255E-16,-9.7660E-10,5.3623E-10,-2.6989E-14,3.8720E-15,5.1486E-15,1.2823E-10,-1.00E-14,1.17E-14,9.81E-14,1.90E-14,8.29E-15,-6.03E-15,-6.40E-15,-3.24E-11,-2.49E-12,1.36E-15,-2.33E-15,-1.63E-14,7.45E-17
3.7814E-15,-8.3722E-10,1.0629E-09,3.4629E-10,3.6455E-15,2.3996E-15,1.2116E-10,6.97E-14,1.40E-14,9.09E-14,-1.88E-14,-2.77E-14,-4.71E-15,8.85E-15,-2.89E-11,5.94E-11,-2.01E-14,5.26E-11,-7.24E-15,-8.74E-15
-5.8240E-15,1.8845E-14,4.0554E-10,1.6677E-10,-1.1516E-14,-1.4472E-14,4.9928E-11,-1.39E-15,1.12E-15,-5.51E-14,2.02E-14,1.66E-14,-6.12E-16,-7.95E-16,4.19E-11,6.25E-11,2.06E-14,1.53E-14,-1.62E-14,-2.03E-14
-8.3675E-16,-2.6332E-15,-1.6961E-14,-1.5408E-14,3.6465E-15,-9.1859E-15,-8.8040E-15,2.22E-14,-1.52E-14,-1.58E-15,1.37E-15,-2.51E-14,-3.67E-15,-1.15E-14,9.04E-15,3.39E-15,1.39E-14,-1.62E-15,-6.68E-15,3.77E-16
1.6406E-14,2.9643E-14,2.7126E-10,8.1683E-16,-5.2504E-15,-2.4942E-14,6.3978E-11,2.38E-14,1.14E-14,-1.15E-14,1.45E-14,2.17E-14,-5.74E-15,6.75E-15,1.85E-11,3.21E-11,1.38E-14,1.88E-16,5.05E-15,-1.15E-14
-7.2845E-15,-1.7823E-09,-2.1809E-10,-1.5079E-10,-2.0173E-14,9.2530E-15,-4.5305E-10,-2.86E-14,1.44E-14,-4.61E-14,8.23E-15,-2.29E-14,1.39E-10,1.09E-14,1.91E-11,-2.81E-11,-1.73E-14,6.03E-15,-1.28E-14,7.88E-11
